year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author,journal
1827,0.0,0,0.0,0.0,0.0,0.0,0.0,31,0,0.0,MNRAS
1828,0.0,0,0.0,0.0,0.0,0.0,0.0,33,0,0.0,MNRAS
1829,0.0,0,0.0,0.0,0.0,0.0,0.0,48,0,0.0,MNRAS
1830,0.0,0,0.0,0.0,0.0,0.0,0.0,50,0,0.0,MNRAS
1831,0.0,0,0.0,0.0,0.0,0.0,0.0,41,0,0.0,MNRAS
1832,0.0,0,0.0,0.0,0.0,0.0,0.0,69,0,0.0,MNRAS
1833,0.0,0,0.0,0.0,0.0,0.0,0.0,51,0,0.0,MNRAS
1834,0.0,0,0.0,0.0,0.0,0.0,0.0,61,0,0.0,MNRAS
1835,0.0,0,0.0,0.0,0.0,0.0,0.0,93,0,0.0,MNRAS
1836,0.0,0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,MNRAS
1837,0.0,0,0.0,0.0,0.0,0.0,0.0,65,0,0.0,MNRAS
1838,0.0,0,0.0,0.0,0.0,0.0,0.0,41,0,0.0,MNRAS
1839,0.0,0,0.0,0.0,0.0,0.0,0.0,37,0,0.0,MNRAS
1840,0.0,0,0.0,0.0,0.0,0.0,0.0,50,0,0.0,MNRAS
1841,0.0,0,0.0,0.0,0.0,0.0,0.0,37,0,0.0,MNRAS
1842,0.0,0,0.0,0.0,0.0,0.0,0.0,43,0,0.0,MNRAS
1843,0.0,0,0.0,0.0,0.0,0.0,0.0,64,0,0.0,MNRAS
1844,0.0,0,0.0,0.0,0.0,0.0,0.0,66,0,0.0,MNRAS
1845,0.0,0,0.0,0.0,0.0,0.0,0.0,105,0,0.0,MNRAS
1846,0.0,0,0.0,0.0,0.0,0.0,0.0,127,0,0.0,MNRAS
1847,0.0,0,0.0,0.0,0.0,0.0,0.0,174,0,0.0,MNRAS
1848,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1849,0.0,0,0.0,0.0,0.0,0.0,0.0,197,0,0.0,MNRAS
1850,0.0,0,0.0,0.0,0.0,0.0,0.0,185,0,0.0,MNRAS
1851,0.0,0,0.0,0.0,0.0,0.0,0.0,196,0,0.0,MNRAS
1852,0.0,0,0.0,0.0,0.0,0.0,0.0,154,0,0.0,MNRAS
1853,0.0,0,0.0,0.0,0.0,0.0,0.0,162,0,0.0,MNRAS
1854,0.0,0,0.0,0.0,0.0,0.0,0.0,141,0,0.0,MNRAS
1855,0.0,0,0.0,0.0,0.0,0.0,0.0,113,0,0.0,MNRAS
1856,0.0,0,0.0,0.0,0.0,0.0,0.0,131,0,0.0,MNRAS
1857,0.0,0,0.0,0.0,0.0,0.0,0.0,158,0,0.0,MNRAS
1858,0.0,0,0.0,0.0,0.0,0.0,0.0,157,0,0.0,MNRAS
1859,0.0,0,0.0,0.0,0.0,0.0,0.0,155,0,0.0,MNRAS
1860,0.0,0,0.0,0.0,0.0,0.0,0.0,165,0,0.0,MNRAS
1861,0.0,0,0.0,0.0,0.0,0.0,0.0,152,0,0.0,MNRAS
1862,0.0,0,0.0,0.0,0.0,0.0,0.0,145,0,0.0,MNRAS
1863,0.0,0,0.0,0.0,0.0,0.0,0.0,128,0,0.0,MNRAS
1864,0.0,0,0.0,0.0,0.0,0.0,0.0,105,0,0.0,MNRAS
1865,0.0,0,0.0,0.0,0.0,0.0,0.0,123,0,0.0,MNRAS
1866,0.0,0,0.0,0.0,0.0,0.0,0.0,92,0,0.0,MNRAS
1867,0.0,0,0.0,0.0,0.0,0.0,0.0,140,0,0.0,MNRAS
1868,0.0,0,0.0,0.0,0.0,0.0,0.0,137,0,0.0,MNRAS
1869,0.0,0,0.0,0.0,0.0,0.0,0.0,111,0,0.0,MNRAS
1870,0.0,0,0.0,0.0,0.0,0.0,0.0,80,0,0.0,MNRAS
1871,0.0,0,0.0,0.0,0.0,0.0,0.0,156,0,0.0,MNRAS
1872,0.0,0,0.0,0.0,0.0,0.0,0.0,170,0,0.0,MNRAS
1873,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1874,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1875,0.0,0,0.0,0.0,0.0,0.0,0.0,196,0,0.0,MNRAS
1876,0.0,0,0.0,0.0,0.0,0.0,0.0,157,0,0.0,MNRAS
1877,0.0,0,0.0,0.0,0.0,0.0,0.0,185,0,0.0,MNRAS
1878,0.0,0,0.0,0.0,0.0,0.0,0.0,176,0,0.0,MNRAS
1879,0.0,0,0.0,0.0,0.0,0.0,0.0,177,0,0.0,MNRAS
1880,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1881,0.0,0,0.0,0.0,0.0,0.0,0.0,160,0,0.0,MNRAS
1882,0.0,0,0.0,0.0,0.0,0.0,0.0,197,0,0.0,MNRAS
1883,0.0,0,0.0,0.0,0.0,0.0,0.0,198,0,0.0,MNRAS
1884,0.0,0,0.0,0.0,0.0,0.0,0.0,189,0,0.0,MNRAS
1885,0.0,0,0.0,0.0,0.0,0.0,0.0,170,0,0.0,MNRAS
1886,0.0,0,0.0,0.0,0.0,0.0,0.0,190,0,0.0,MNRAS
1887,0.0,0,0.0,0.0,0.0,0.0,0.0,194,0,0.0,MNRAS
1888,0.0,0,0.0,0.0,0.0,0.0,0.0,187,0,0.0,MNRAS
1889,0.0,0,0.0,0.0,0.0,0.0,0.0,185,0,0.0,MNRAS
1890,0.0,0,0.0,0.0,0.0,0.0,0.0,190,0,0.0,MNRAS
1891,0.0,0,0.0,0.0,0.0,0.0,0.0,182,0,0.0,MNRAS
1892,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1893,0.0,0,0.0,0.0,0.0,0.0,0.0,193,0,0.0,MNRAS
1894,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1895,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1896,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1897,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1898,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1899,0.0,0,0.0,0.0,0.0,0.0,0.0,193,0,0.0,MNRAS
1900,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1901,0.0,0,0.0,0.0,0.0,0.0,0.0,194,0,0.0,MNRAS
1902,0.0,0,0.0,0.0,0.0,0.0,0.0,179,0,0.0,MNRAS
1903,0.0,0,0.0,0.0,0.0,0.0,0.0,187,0,0.0,MNRAS
1904,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1905,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1906,0.0,0,0.0,0.0,0.0,0.0,0.0,186,0,0.0,MNRAS
1907,0.0,0,0.0,0.0,0.0,0.0,0.0,176,0,0.0,MNRAS
1908,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1909,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
